sgRNA	gene	counts	control mean	control stdev	fold change	p-value	significant
sgSLC29A1_1	SLC29A1	7269.05505063	3530.6813502	946.343979048	2.05882500561	0.000826847426333	True
sgP2RY1_4	P2RY1	12459.1205365	6690.30942443	1791.56275967	1.86226372296	0.0037413156676	False
sgAKAP5_2	AKAP5	2448.48481481	1317.24797329	354.235276116	1.85878806759	0.00394494323021	False
sgSPRY1_1	SPRY1	8468.75704669	4580.48590262	1227.17290046	1.84887743937	0.00414691148174	False
sgFAM3C_3	FAM3C	17366.2767519	9630.7064476	2578.13545348	1.80321940518	0.00575762984609	False
sgSH3BGRL2_3	SH3BGRL2	4718.70437741	2643.21518933	708.94127566	1.78521385488	0.00663073361532	False
sgCLNK_2	CLNK	4066.7628836	2289.84840376	614.413335465	1.77599655808	0.00709950856142	False
sgSERPINE1_1	SERPINE1	3412.04323002	1998.2837806	536.417779757	1.70748682602	0.0114654766794	False
sgSNX9_3	SNX9	8482.18481893	4980.7008062	1334.23270535	1.70301030899	0.0117182514998	False
sgSNX9_4	SNX9	4336.70740838	2574.6517993	690.600125813	1.68438598554	0.0134051627963	False
sgPTMS_5	PTMS	3069.40352447	1831.76179839	491.871937576	1.67565647846	0.0142806961364	False
sgCAMK1_4	CAMK1	11020.4967998	6626.28623242	1774.43619383	1.66314831766	0.0153511150047	False
sgMYO1E_3	MYO1E	9061.89415859	5471.88781514	1465.62805256	1.65608186146	0.016120893768	False
sgSPRY1_3	SPRY1	5982.30404829	3670.87010882	983.84531435	1.62966922581	0.0192503310742	False
INTERGENIC39333	Intergenic	5235.90512214	3237.66220614	867.959577673	1.61718696664	0.0209410478848	False
sgDUSP4_2	DUSP4	10952.4318853	6828.79646264	1828.60882479	1.60385976434	0.0227192772771	False
sgSHC4_1	SHC4	5716.06373654	3569.71103952	956.784656018	1.60126791028	0.0231720348369	False
sgOAS1_1	OAS1	5939.24257178	3720.23517365	997.050764559	1.59646965704	0.0239035980338	False
sgRYR1_2	RYR1	6584.70169278	4243.57917292	1137.04838211	1.55168583511	0.0317902043707	False
sgFAM3C_5	FAM3C	10004.6163755	6462.10404796	1730.51653035	1.54819797101	0.0324240828026	False
sgSHC4_3	SHC4	9279.97970091	6124.67129202	1640.25135436	1.51518004125	0.0398052879106	False
