sgRNA	gene	counts	control mean	control stdev	fold change	p-value	significant
INTERGENIC19822	Intergenic	21101.6723426	5921.5404191	1585.91269073	3.56354442411	5.87255688522e-10	True
sgMYO1E_3	MYO1E	15203.7632465	5471.88781514	1465.62805256	2.77852246978	1.47431618269e-06	True
sgGEM_1	GEM	20932.2263656	8098.50473239	2168.26292881	2.58470261577	8.87481310308e-06	True
sgMYO1E_1	MYO1E	20671.8146535	8140.68500981	2179.54638948	2.53932127684	1.34187201942e-05	True
sgCLNK_3	CLNK	13722.151405	5443.69400174	1458.08604605	2.52074260614	1.59503418131e-05	True
sgMS4A6A_1	MS4A6A	17669.9453968	7239.28917776	1938.41794076	2.44083983426	3.24926570925e-05	True
sgNDFIP2_2	NDFIP2	6887.23578319	2978.28808934	798.575398207	2.31248139085	0.000101181099039	True
sgP2RY1_2	P2RY1	9164.35189589	4197.66899408	1124.76713967	2.18320022584	0.000299570200052	True
sgPHLDA1_4	PHLDA1	16421.3960922	7858.92611423	2104.17430457	2.08952162847	0.000640744702405	True
INTERGENIC44800	Intergenic	17034.374346	8445.70848528	2261.14187784	2.01692662915	0.00114306612849	True
sgMS4A6A_5	MS4A6A	29941.4014193	14920.4675213	3993.17591129	2.00673346037	0.0012351003113	True
sgSLC29A1_3	SLC29A1	5916.93460931	2990.13133	801.743538946	1.97882098018	0.00156011982468	True
sgDUSP4_1	DUSP4	13753.6624113	7313.77487668	1958.34328458	1.88051486998	0.0032655574085	False
sgSRGAP3_2	SRGAP3	9529.40393067	5150.15029186	1379.56141893	1.85031569772	0.00409654689196	False
sgPHEX_1	PHEX	10083.522003	5629.79336557	1507.86869026	1.79109984119	0.00630334347711	False
sgFAM3C_1	FAM3C	7372.98091741	4177.91929616	1119.48397938	1.76474948288	0.00763268598457	False
INTERGENIC50500	Intergenic	7578.09973174	4483.8723974	1201.32822514	1.69007925741	0.0128111621386	False
sgXCL2_2	XCL2	19111.1280227	11476.4037392	3071.86975207	1.66525406887	0.0151015316901	False
sgSHC4_1	SHC4	5677.33205228	3569.71103952	956.784656018	1.59041782078	0.0248658608579	False
INTERGENIC2261	Intergenic	5303.36180818	3357.38530725	899.986238145	1.57961071573	0.0266635250424	False
sgATP9A_2	ATP9A	8728.54873385	5540.21864346	1483.90694011	1.57548813424	0.0273009799754	False
sgPTMS_5	PTMS	2888.31072468	1831.76179839	491.871937576	1.57679384253	0.0273090191136	False
INTERGENIC12191	Intergenic	8020.44291395	5114.12446761	1369.92430364	1.56829247406	0.0285875498285	False
INTERGENIC36225	Intergenic	7367.62999182	4743.61887605	1270.81191809	1.55316651365	0.0314730920506	False
sgPTPN22_1	PTPN22	12937.9435323	8584.98506853	2298.39914337	1.50704321895	0.0417833564569	False
sgCAMK1_5	CAMK1	7516.86136109	5094.17520109	1364.58776	1.47557966979	0.0505790787589	False
sgPHLDA1_2	PHLDA1	7141.10747512	4934.22219567	1321.79940876	1.44726102553	0.0596917645067	False
sgDUSP4_4	DUSP4	13480.7652061	9511.58849133	2546.27073573	1.41729903668	0.0708210853235	False
sgSERPINE1_3	SERPINE1	8432.46418447	6001.66326968	1607.34600918	1.40502120922	0.0759604638992	False
sgSPRY1_5	SPRY1	9326.0687582	6643.32853772	1778.99510687	1.40382471005	0.0764270119468	False
INTERGENIC53513	Intergenic	6409.2197637	4640.13109771	1243.12833687	1.38125833705	0.0867047632206	False
sgPHEX_5	PHEX	3133.2642073	2269.17811188	608.883892737	1.38079253933	0.0871905069566	False
sgSH3BGRL2_2	SH3BGRL2	7326.01168167	5314.58691217	1423.54915953	1.37847245755	0.0879889748559	False
sgLAT_5	LAT	9510.97296475	6974.29538514	1867.53060772	1.36371811624	0.0953638846725	False
sgCAMK1_2	CAMK1	7172.61848138	5306.99000973	1421.51694454	1.35154173425	0.101844133682	False
sgPHLDA1_3	PHLDA1	6209.45187496	4626.43745485	1239.46520785	1.34216704226	0.107064044092	False
