sgRNA	gene	counts	control mean	control stdev	fold change	p-value	significant
sgFAM3C_4	FAM3C	12782.8865243	3106.51555882	832.877042524	4.11486319069	1.71540559535e-12	True
sgSNX9_1	SNX9	5419.46412442	1959.07719646	525.929737652	2.76633515729	1.71700714879e-06	True
sgSLC29A1_3	SLC29A1	8155.0295192	2990.13133	801.743538946	2.72731482975	2.42382516125e-06	True
INTERGENIC30558	Intergenic	8553.6009359	3443.20825475	922.944397505	2.48419505968	2.23873255707e-05	True
sgSERPINE1_4	SERPINE1	6831.07122527	3203.9501471	858.941395098	2.13207787626	0.00045830599503	True
sgGEM_2	GEM	7608.83905926	3715.06642599	995.668093663	2.04810309878	0.000901435778426	True
sgP2RY1_2	P2RY1	8274.0473728	4197.66899408	1124.76713967	1.97110524543	0.00164469471972	False
sgPTPN22_1	PTPN22	16803.6602142	8584.98506853	2298.39914337	1.95733132674	0.00181970983351	False
sgSERPINE1_5	SERPINE1	13359.5234119	6867.47857059	1838.95650706	1.94533164896	0.00199849116922	False
sgDUSP4_5	DUSP4	6388.21409559	3369.19173612	903.144529673	1.89606724577	0.00292535284192	False
sgNDFIP2_2	NDFIP2	5624.2855469	2978.28808934	798.575398207	1.88842898275	0.00310388489393	False
sgCAMK1_4	CAMK1	12238.5413024	6626.28623242	1774.43619383	1.84696840328	0.00419182929484	False
sgSH3BGRL2_2	SH3BGRL2	9397.79733935	5314.58691217	1423.54915953	1.76830250303	0.00742494706818	False
sgXCL2_4	XCL2	9571.24971514	5417.27414613	1451.01858334	1.76680180049	0.00749810304284	False
sgSHC4_5	SHC4	8768.5711676	5057.33578576	1354.73300422	1.73383210826	0.0094677991403	False
sgGEM_3	GEM	4758.86890599	2814.9023946	754.868698456	1.69059819449	0.0128406353558	False
sgDUSP4_4	DUSP4	16000.9816666	9511.58849133	2546.27073573	1.68226176744	0.0134733757389	False
sgNDFIP2_4	NDFIP2	12006.9639284	7195.94916106	1926.8242422	1.66857264548	0.0148008633495	False
sgSLC29A1_4	SLC29A1	12556.8448644	7534.51293505	2017.3919569	1.66657685409	0.0149967152851	False
sgSRGAP3_4	SRGAP3	11221.8151422	6822.15155737	1826.8312751	1.64490850838	0.0173483184699	False
sgPHEX_2	PHEX	7474.13668232	4603.92391409	1233.44270483	1.62342749832	0.020022603803	False
sgCLNK_1	CLNK	9579.55328632	5930.84922509	1588.40284933	1.61520769164	0.0211145358975	False
sgCLNK_2	CLNK	3635.11893943	2289.84840376	614.413335465	1.58749327399	0.0254226051167	False
sgDUSP4_1	DUSP4	11392.4996609	7313.77487668	1958.34328458	1.55767710286	0.0305314399778	False
sgPTMS_5	PTMS	2850.89277229	1831.76179839	491.871937576	1.55636654001	0.0311347796059	False
sgP2RY1_4	P2RY1	10397.9163572	6690.30942443	1791.56275967	1.55417570363	0.0312343368997	False
sgSNX9_4	SNX9	3970.95226277	2574.6517993	690.600125813	1.54232594242	0.0338555669348	False
sgPLS3_3	PLS3	12802.2615237	8367.99383665	2240.35277419	1.52990809668	0.0362955688562	False
sgSLC29A1_1	SLC29A1	5298.60103278	3530.6813502	946.343979048	1.50073045603	0.0435639731226	False
INTERGENIC33423	Intergenic	6379.91052441	4253.26324188	1139.63892738	1.50000368225	0.0437295770803	False
sgSH3BGRL2_1	SH3BGRL2	11415.5651364	7669.92504776	2053.61545803	1.48835419712	0.0467837684462	False
sgP2RY1_5	P2RY1	11797.5294108	7978.52735102	2136.16830648	1.4786600198	0.0495707491592	False
sgSPRY1_1	SPRY1	6651.16051633	4580.48590262	1227.17290046	1.45206440053	0.058064124268	False
sgSHC4_2	SHC4	15106.9638361	10539.8197248	2821.32831999	1.43332279209	0.0646225363339	False
sgCLNK_3	CLNK	7758.30334053	5443.69400174	1458.08604605	1.42519093433	0.0677759328215	False
sgPHEX_1	PHEX	7956.66642986	5629.79336557	1507.86869026	1.41331411531	0.0725235016166	False
sgNTRK1_4	NTRK1	4366.75582242	3159.37953797	847.01848308	1.38215613855	0.0864728683884	False
sgPHEX_4	PHEX	8776.87473878	6359.17225555	1702.98169272	1.38019138122	0.0871969635397	False
INTERGENIC4649	Intergenic	15108.8090741	11186.2624463	2994.25534368	1.35065748248	0.102196493403	False
sgPTMS_4	PTMS	3702.4701279	2756.15977244	739.15467434	1.34334379484	0.106596789906	False
sgP2RY1_1	P2RY1	6338.3926685	4763.74977422	1276.19705002	1.33054693653	0.113792095568	False
INTERGENIC50500	Intergenic	5878.92839646	4483.8723974	1201.32822514	1.31112749771	0.125915935474	False
sgCLNK_5	CLNK	9141.30925175	7177.50222163	1921.88958199	1.27360591045	0.151797980799	False
sgSPRY1_4	SPRY1	5269.99984315	4195.56313493	1124.20380997	1.25608879515	0.165574310831	False
sgRYR1_3	RYR1	4882.49985469	3888.39856607	1042.03547373	1.25565827981	0.165849455557	False
sgPDE7B_1	PDE7B	6437.11290366	5160.82062713	1382.41579499	1.24730413412	0.172468178111	False
INTERGENIC12191	Intergenic	6354.99981086	5114.12446761	1369.92430364	1.24263690708	0.176485598993	False
INTERGENIC2261	Intergenic	4152.70820974	3357.38530725	899.986238145	1.23688758653	0.181458162785	False
sgSERPINE1_1	SERPINE1	2466.16064089	1998.2837806	536.417779757	1.23413934739	0.183899055787	False
sgGEM_1	GEM	9925.53541888	8098.50473239	2168.26292881	1.22560099017	0.190986027086	False
sgSERPINE1_3	SERPINE1	7332.05335321	6001.66326968	1607.34600918	1.22167023103	0.194485629901	False
sgMS4A6A_4	MS4A6A	5139.91056131	4213.76988293	1129.07422202	1.2197890972	0.196434872248	False
sgMS4A6A_3	MS4A6A	6307.02362181	5244.65994031	1404.84329314	1.20256102275	0.212227372751	False
sgPHEX_3	PHEX	8047.08309384	6696.26686771	1793.15640942	1.20172676102	0.212997990316	False
sgGEM_5	GEM	5398.24388696	4556.38823326	1220.72663368	1.18476381085	0.229804077277	False
sgCAMK1_3	CAMK1	5841.10101663	5006.0543639	1341.01492828	1.16680734807	0.248394059259	False
sgRYR1_4	RYR1	4206.22011291	3622.91661375	971.017466885	1.16100384341	0.254723135229	False
