AKAP5	10551.9937336
ATP9A	15390.2078753
CAMK1	32655.1775995
CLNK	34200.5644583
DUSP4	48709.6711694
ENTPD1	13815.2972079
FAM3C	41756.8142334
GEM	36441.6060583
Intergenic	113852.109707
LAMP1	12327.1127284
LAT	7263.77954572
MS4A6A	34322.350169
MYO1E	20802.2910476
NDFIP2	28412.9753449
NTRK1	17878.5113727
OAS1	20119.5529726
P2RY1	47984.4926195
PDE7B	38182.5881493
PHEX	34266.9930278
PHLDA1	24239.9695167
PLS3	31255.564546
PTMS	15317.3209727
PTPN22	31170.6835961
RYR1	20890.8624735
SERPINE1	32179.1061851
SH3BGRL2	29697.2610209
SHC4	37277.4988906
SLC29A1	29706.4872111
SNX9	21313.4219847
SPRY1	26347.2313587
SRGAP3	37597.6476905
XCL2	38649.4333735
ZAP70	15423.42216
