AKAP5	14127.6326554
ATP9A	23412.6776507
CAMK1	31010.9919903
CLNK	27456.7883031
DUSP4	43629.6636289
ENTPD1	10612.074542
FAM3C	25352.0909039
GEM	36274.5191302
Intergenic	139238.218451
LAMP1	19321.5977626
LAT	27994.8535987
MS4A6A	54341.6221153
MYO1E	47116.0889252
NDFIP2	17274.5714503
NTRK1	11939.1040886
OAS1	19307.923175
P2RY1	39328.7085482
PDE7B	27103.6272141
PHEX	30107.2801126
PHLDA1	40845.9932269
PLS3	22441.1873823
PTMS	9643.55700995
PTPN22	25904.4253344
RYR1	14320.860524
SERPINE1	20263.3606667
SH3BGRL2	26811.7044957
SHC4	30203.002226
SLC29A1	17575.412378
SNX9	19075.4551854
SPRY1	32282.7286391
SRGAP3	30000.2616008
XCL2	48360.4763989
ZAP70	17321.5406861
