AKAP5	16571.6338869
ATP9A	22819.3231583
CAMK1	29925.1714495
CLNK	24661.6572675
DUSP4	34340.941163
ENTPD1	18504.5745916
FAM3C	40289.7328147
GEM	31182.2077807
Intergenic	115301.579367
LAMP1	15728.0552388
LAT	5630.10638464
MS4A6A	40647.9933763
MYO1E	28552.5335999
NDFIP2	32076.8177297
NTRK1	31291.5605684
OAS1	25679.1589208
P2RY1	33062.0342743
PDE7B	43721.3274387
PHEX	29397.1537032
PHLDA1	26355.0632944
PLS3	22067.3925609
PTMS	17435.0001823
PTPN22	24290.8992444
RYR1	22705.8045501
SERPINE1	29007.6494879
SH3BGRL2	28046.3864111
SHC4	38385.9528533
SLC29A1	24052.4060217
SNX9	27868.2975854
SPRY1	32919.3549227
SRGAP3	37015.397914
XCL2	38400.533225
ZAP70	12066.299033
