AKAP5	19249.1162884
ATP9A	18139.4668968
CAMK1	24754.1403596
CLNK	23121.8869698
DUSP4	28953.8332414
ENTPD1	13964.1360059
FAM3C	37212.5481542
GEM	26787.9736639
Intergenic	117983.550155
LAMP1	31691.0207989
LAT	23706.5747512
MS4A6A	35500.9218263
MYO1E	30604.9475274
NDFIP2	25394.6249589
NTRK1	20981.1752539
OAS1	22473.5436638
P2RY1	30001.3988498
PDE7B	40811.0499704
PHEX	23073.9488587
PHLDA1	32810.1006386
PLS3	38220.0343583
PTMS	14591.2608038
PTPN22	28185.2517222
RYR1	24254.326611
SERPINE1	20816.1424123
SH3BGRL2	21499.8498987
SHC4	28031.2210701
SLC29A1	19733.2126236
SNX9	24540.3835363
SPRY1	30255.2350775
SRGAP3	33366.4970758
XCL2	50823.0423569
ZAP70	38467.5836206
