AKAP5	15506.4457924
ATP9A	25252.6274231
CAMK1	34037.5686425
CLNK	30136.4856972
DUSP4	43070.4877006
ENTPD1	11647.7801089
FAM3C	29534.813152
GEM	34096.9528092
Intergenic	135919.91621
LAMP1	17225.9763312
LAT	13799.3141455
MS4A6A	45307.5088342
MYO1E	38475.0668072
NDFIP2	20099.2563928
NTRK1	19607.2161551
OAS1	21192.3166024
P2RY1	39179.1933542
PDE7B	29748.8571811
PHEX	30695.0884074
PHLDA1	31764.0034064
PLS3	24631.37768
PTMS	10924.7289374
PTPN22	28432.6169167
RYR1	15718.5321017
SERPINE1	22760.450145
SH3BGRL2	29428.4437107
SHC4	31835.786465
SLC29A1	21011.5538096
SNX9	20937.160458
SPRY1	27912.5160288
SRGAP3	32928.1941014
XCL2	52484.5095423
ZAP70	14697.2549506
