AKAP5	16136.4568516
ATP9A	21030.9530251
CAMK1	29301.5280165
CLNK	28246.7079141
DUSP4	30212.3602663
ENTPD1	17780.3181695
FAM3C	36120.2254937
GEM	27312.9685059
Intergenic	112398.881258
LAMP1	38927.9886206
LAT	17402.8954648
MS4A6A	41758.6589059
MYO1E	32200.9197769
NDFIP2	30334.5317777
NTRK1	26533.034304
OAS1	23864.8957615
P2RY1	36845.6188423
PDE7B	41276.5177629
PHEX	24448.4828916
PHLDA1	26734.8354612
PLS3	25600.3857129
PTMS	14072.6309635
PTPN22	26825.3732776
RYR1	23101.3238156
SERPINE1	23382.7546185
SH3BGRL2	26236.3320622
SHC4	33382.274659
SLC29A1	19540.8969134
SNX9	21514.1849851
SPRY1	29053.9125427
SRGAP3	33288.4643914
XCL2	44835.853848
ZAP70	20296.8331399
