AKAP5	19357.6484951
ATP9A	16479.6681505
CAMK1	28102.2536207
CLNK	17022.9931424
DUSP4	26304.4976029
ENTPD1	24061.9433328
FAM3C	33807.5230163
GEM	24336.8186573
Intergenic	107187.811243
LAMP1	28791.2268364
LAT	62893.6161098
MS4A6A	32252.5140383
MYO1E	27804.5315161
NDFIP2	23070.9642412
NTRK1	19061.3543143
OAS1	27421.1339857
P2RY1	26201.6870919
PDE7B	38652.4683447
PHEX	18453.7727531
PHLDA1	29807.9085558
PLS3	34722.8221485
PTMS	18275.9962446
PTPN22	25606.2428827
RYR1	22035.0055511
SERPINE1	18911.4223192
SH3BGRL2	19532.5691561
SHC4	25466.3063539
SLC29A1	17927.5828464
SNX9	26119.5814755
SPRY1	27486.8184788
SRGAP3	35613.1326148
XCL2	46172.6288433
ZAP70	51057.5560371
