	guide	gene	positive119_vs_negative119	positive122_vs_negative122	positive124_vs_negative124	positive141_vs_negative141	positive144_vs_negative144
1	sgAKAP5_1	AKAP5	0.91208813638568	1.0655825954072	2.96970226127725	0.69261578090602	1.68847340679086
2	sgAKAP5_2	AKAP5	0.468593707573678	1.1854290577809	14.1671369806358	5.90754931098569	1.47525015547324
3	sgAKAP5_3	AKAP5	0.693989472474186	0.995808890898129	0.43908761831985	0.513019514541906	0.508393585315744
4	sgAKAP5_4	AKAP5	1.19846214511991	0.969103253764957	1.24009287022019	0.752040985119162	0.792018799148483
5	sgAKAP5_5	AKAP5	1.07643766546449	0.913791938606899	0.657350735296847	0.771920980123489	0.513773277827902
6	sgATP9A_1	ATP9A	0.636108844508806	0.852764967355636	0.639889257181619	0.844248267899629	1.28123525225464
7	sgATP9A_2	ATP9A	0.670811736351083	1.10890658035412	1.1469451763038	1.49773623367247	0.959029540601294
8	sgATP9A_3	ATP9A	1.04590119802232	1.48075866089399	0.582797764831584	1.30553512270118	1.26628642752761
9	sgATP9A_4	ATP9A	1.48357223359412	1.08661221121681	0.591759674403745	1.3665121861561	1.36981300917498
10	sgATP9A_5	ATP9A	1.21582309497897	1.12568599543539	1.12829929565092	0.984322737159508	0.757923137546463
11	sgCAMK1_1	CAMK1	0.645802574510645	1.06310311523543	1.16472576860761	1.58290552691985	1.24728262326271
12	sgCAMK1_2	CAMK1	0.942530891151734	1.02094746539349	1.8996424699339	1.13771028927767	1.04719893854524
13	sgCAMK1_3	CAMK1	0.778358596166119	0.994983233675016	4.01956969001369	0.685621503039038	1.43737067186775
14	sgCAMK1_4	CAMK1	1.38705329573584	0.920395333709388	2.46230877191774	1.33999805731269	1.33536059821341
15	sgCAMK1_5	CAMK1	1.21154130943739	1.0666885467002	1.9672620516723	0.787338427342859	0.730377856265095
16	sgCLNK_1	CLNK	1.00913558345072	0.902981913281537	1.04873320192906	1.28265011268557	1.56934523461065
17	sgCLNK_2	CLNK	1.29937487360579	0.862629318652812	0.566303745176112	4.39400269830861	1.75057997790747
18	sgCLNK_3	CLNK	1.22216157134037	0.730005338390265	2.63206984691656	1.54286768898936	1.10806042623086
19	sgCLNK_4	CLNK	1.14621343542148	0.821949663471047	0.251046050666001	1.24646383788437	1.2366335156468
20	sgCLNK_5	CLNK	1.07860199256509	0.942581914433112	0.733701024154873	1.78092076236634	0.93927421152458
21	sgDUSP4_1	DUSP4	1.6457083301832	0.976088538204528	1.23217596043525	1.17469526976348	0.60701535777619
22	sgDUSP4_2	DUSP4	1.03138386705077	1.11839446744307	0.580012863920988	1.93112992130886	1.43195782557072
23	sgDUSP4_3	DUSP4	1.08585871890733	1.26465211170719	0.771393734283325	1.19792181908303	0.807027267424294
24	sgDUSP4_4	DUSP4	1.41264605124909	1.18011444428584	1.64974931852276	1.56382544103021	0.806357326115615
25	sgDUSP4_5	DUSP4	1.78252833596936	0.884229772005802	0.738806572521756	0.492371557687748	0.799226507274629
26	sgENTPD1_1	ENTPD1	0.973936250294141	1.09041487493836	2.58386918167639	0.825149075881333	1.14176932274391
27	sgENTPD1_2	ENTPD1	1.07742130318609	1.33332043838791	592.74167336099	0.404302347539515	0.657042303815073
28	sgENTPD1_3	ENTPD1	0.72175399406313	1.27309143911432	0.516863174790042	2.04211172837825	0.842090074732885
29	sgENTPD1_4	ENTPD1	0.515269070668047	0.988179840567595	0.461588644785451	1.06629962712733	0.904483841037915
30	sgENTPD1_5	ENTPD1	0.860300236845533	0.804732163757189	1.02726256740346	1.00655443485251	0.560618379854943
31	sgFAM3C_1	FAM3C	0.902778461322126	1.0618411854819	1.34441754650665	0.94343087095919	0.659766233380385
32	sgFAM3C_2	FAM3C	0.952581330296735	1.1517459804023	0.681097137090742	0.815805488562194	1.06139280692596
33	sgFAM3C_3	FAM3C	1.09111542514691	1.00958683879379	0.693800942589941	0.680850864103485	1.7560890666186
34	sgFAM3C_4	FAM3C	2.79700971441504	1.43743671556339	1.87347603930276	0.815715414512185	1.76962725897092
35	sgFAM3C_5	FAM3C	0.770278145648009	1.00227049654129	1.01557205941342	1.50902365793893	1.38392281470833
36	sgGEM_1	GEM	1.00783281059578	1.00017471185004	2.70509506993132	0.934592255851065	0.397034006779305
37	sgGEM_2	GEM	1.93302714997735	0.979638854230894	6.8113516194164	1.38247505049888	1.04475426232563
38	sgGEM_3	GEM	1.27698473248642	1.2895509978355	0.507892091847803	1.31896567760227	0.577354236062598
39	sgGEM_4	GEM	1.06778341690206	1.20914763045642	0.892830018170508	1.10796322515202	1.31893208184918
40	sgGEM_5	GEM	0.93805568397356	1.24876690520468	0.603066406741027	1.12054063858418	0.868825290814762
41	INTERGENIC12191	Intergenic	1.1053130356311	1.1529816273045	1.73873145575236	1.07579261176913	0.743445092975237
42	INTERGENIC14666	Intergenic	1.09215928745419	0.976743215083103	1.49628398315851	1.1430445600919	0.838944367967531
43	INTERGENIC17236	Intergenic	0.744703156468272	0.811091636293144	0.650694797033539	1.53278380056355	1.03448087948864
44	INTERGENIC19822	Intergenic	0.844684687549343	1.09133818893774	3.6555448448002	0.940635347456214	0.723755827620243
45	INTERGENIC22544	Intergenic	1.16348692913881	0.649620270011763	0.29385828281947	0.696291791707377	0.887398917572743
46	INTERGENIC2261	Intergenic	1.34094658593254	1.13411330063522	1.76806814253145	1.32924104573766	0.921901045066188
47	INTERGENIC25153	Intergenic	1.53625801753784	1.03579130672786	0.818645244317925	0.364526554607427	0.452432033003764
48	INTERGENIC27867	Intergenic	0.724313186291638	0.918306235155466	1.18495834177804	0.918854070039732	0.666171418725621
49	INTERGENIC30558	Intergenic	2.39301093472787	0.629456156926295	0.20974993370972	0.630535290776111	1.42052687596689
50	INTERGENIC33423	Intergenic	1.77350331526449	0.720535200269695	1.34233050045298	0.919744353921714	1.65261874094561
51	INTERGENIC36225	Intergenic	0.305848947624796	1.63348012179684	0.971168317435468	0.686857421944797	0.623656798125245
52	INTERGENIC39333	Intergenic	0.599107340439577	0.936374946984893	1.23411923404709	2.38815024641315	1.2643083118863
53	INTERGENIC42167	Intergenic	1.33991762638081	1.0618654815484	0.681573856589951	1.02887758663527	1.67855098473273
54	INTERGENIC44800	Intergenic	1.0700900384077	0.869254168041033	0.952084290836449	0.835760169759394	0.743581905941053
55	INTERGENIC4649	Intergenic	1.03833359114125	1.01172502674008	1.32391010938526	1.63484268896452	1.25857805769728
56	INTERGENIC47459	Intergenic	0.529248910268175	1.30980259668813	0.443534541523305	1.5726651341811	1.17494116435623
57	INTERGENIC50500	Intergenic	1.01642775724817	1.20887845700792	1.16821040362863	1.82432616074872	1.44808749417709
58	INTERGENIC53513	Intergenic	0.439603593950611	0.68265466505208	0.914548845195654	1.84706066034738	0.912524326018607
59	INTERGENIC7310	Intergenic	1.34298022690113	1.50389595536542	0.294750145454979	0.394940945728799	0.888431184712451
60	INTERGENIC9892	Intergenic	1.32158363658253	1.75989162752817	0.567136019569903	0.70346799828797	1.18236877352537
61	sgLAMP1_1	LAMP1	0.545376787491177	0.416487128784797	2.35495761000671	1.30443757382184	0.431027226323459
62	sgLAMP1_2	LAMP1	0.5268201759518	0.423959065925165	0.60159849924709	0.428000267906453	0.712877785450861
63	sgLAMP1_3	LAMP1	0.515999909884969	0.190708045296643	0.708631296993422	0.562476949210034	0.165314669491312
64	sgLAMP1_4	LAMP1	0.380803178358682	0.605352750382271	0.939429449149588	1.19726387534971	0.230610573228923
65	sgLAMP1_5	LAMP1	0.296711020837915	0.330760191968948	0.308753155158955	0.236026542309937	0.131453461208484
66	sgLAT_1	LAT	0.1071566991326	0.18044811150319	0.858243184446902	0.201123631183333	0.301959658613365
67	sgLAT_2	LAT	0.716373867276316	0.228762732909152	0.364648483983883	0.518108019302719	0.663405320932327
